 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
427	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.17	0.488	0.973	559	1315	0.198	0.317	16.348	1	1.47E-118	177.506	27.905	18.082	5.348	1
428	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus	Otsu	Otsu	TRUE	0.35	0.846	0.986	722	4332	0.406	0.482	47.075	1	0	207.883	45.949	40.916	18.112	1
429	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(13).tif T1	combine	Otsu	Otsu	TRUE	0.245	1	0.993	916	9169	0.339	0.465	8.868	1	2.24E-36	40.68	12.53	8.946	4.034	1
430	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.198	0.776	0.974	657	1595	0.452	0.306	21.702	1	3.74E-207	167.203	33.039	52.001	15.387	1
431	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(13).tif T1	nucleus	Otsu	Otsu	TRUE	0.399	0.648	0.988	626	3398	0.331	0.537	48.362	1	0	220.346	36.831	22.008	10.721	1
432	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(13).tif T1	combine	Otsu	Otsu	TRUE	0.315	1	0.995	988	7667	0.403	0.448	8.54	1	6.92E-34	21.863	5.691	5.065	2.165	1
433	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(13).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment.czi_nucleo_2(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.2	0.557	0.977	537	1065	0.3	0.318	22.515	1	8.75E-223	198.483	34.803	33.67	10.102	1
434	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.143	0.616	0.973	1590	7142	0.076	0.343	22.002	1	7.38E-213	302.975	38.459	8.567	2.741	1
435	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(12).tif T1	combine	Otsu	Otsu	TRUE	0.071	1	0.993	2254	18431	0.186	0.22	1.062	0.933	0.067	8.34	1.557	1.506	0.322	1
436	C3-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-doxo12h-h2ax-647-ku80-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.099	0.594	0.963	1518	1923	0.181	0.205	13.2	1	4.51E-78	294.635	38.706	37.082	7.146	1
