label,Area,id_gh2ax,id_ku80,id_fak,id_dapi,tto
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_8.tiff,2.911,12043.05,30581.497,39694.498,11953.044,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_0(10).tifnucleo_0-roi_9.tiff,3.275,18703.365,28339.456,42034.565,13113.968,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_0.tiff,2.757,24439.928,56115.963,39977.618,12854.931,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_1.tiff,2.7,25883.925,43413.715,36699.899,11382.99,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_10.tiff,2.598,16266.111,51754.309,42799.841,11518.442,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_2.tiff,2.248,15355.551,35557.417,28278.905,11380.348,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_3.tiff,2.479,12104.746,58017.917,36531.202,12762.239,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_4.tiff,3.615,28033.886,60373.325,60358.238,16369.862,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_5.tiff,2.296,13052.047,47310.255,28928.925,10719.954,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_6.tiff,2.199,13214.432,24616.182,23126.717,8258.923,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_7.tiff,2.333,11703.216,45217.845,35549.471,12676.199,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_8.tiff,2.292,12333.641,49408.302,34349.479,10545.912,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-03_Out_Channel Alignment.czi_nucleo_1(10).tifnucleo_0-roi_9.tiff,2.534,14801.727,52478.709,42881.386,13239.6,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-04_Out_Channel Alignment.czi_nucleo_0(5).tifnucleo_0-roi_0.tiff,3.256,31161.476,48427.663,38469.662,52573.511,doxdmso
DOX12-DMSO12-gH2AX-647-ku80-546-fak-488-dapi-405-04_Out_Channel Alignment.czi_nucleo_0(5).tifnucleo_0-roi_1.tiff,2.598,15969.608,42890.954,31509.494,43488.001,doxdmso
