n,tto n,tto,Label,Area,Mean,IntDen ku80,IntDengh2ax,Md Mean ku80,Md Mean gh2ax,CTCF ku80,CTCF gh2ax
148,33,dox_scramble,(18)Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment-1.cziku80:0001-0631,251.291,6339.117,1592960.412,5897133.063,342.9833333,162.7316667,1506771.787,5856240.06
149,34,dox_scramble,(18)Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment-1.cziku80:0002-0978,198.974,7529.995,1498274.363,5805526.102,342.9833333,162.7316667,1430029.597,5773146.731
150,35,dox_scramble,(18)Dox-scramble-h2ax-647-ku80-564-dapi-15_Out_Channel Alignment-1.cziku80:0003-1989,203.126,5224.878,1061309.101,1312785.603,342.9833333,162.7316667,991640.2684,1279730.57
151,36,dox_scramble,(13)Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment-1.cziku80:0001-0334,214.903,6427.072,1381198.22,1573272.765,307.608,179.467,1315092.338,1534704.768
152,37,dox_scramble,(13)Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment-1.cziku80:0002-1657,188.025,6642.635,1248978.552,1539065.176,307.608,179.467,1191140.558,1505320.893
153,38,dox_scramble,(13)Dox-scramble-h2ax-647-ku80-564-dapi-teste_Out_Channel Alignment-1.cziku80:0003-1911,208.062,6115.735,1272451.442,2677009.355,307.608,179.467,1208449.906,2639669.092
154,1,dox_sifak,(16)Dox-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.cziku80:0001-0906,194.634,8978.728,1747565.926,4993781.875,457.6236667,254.3193333,1658496.801,4944282.686
155,2,dox_sifak,(16)Dox-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.cziku80:0002-1409,198.388,8188.456,1624490.081,8043340.072,457.6236667,254.3193333,1533703.037,7992886.168
156,3,dox_sifak,(15)Dox-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.cziku80:0001-0596,232.764,9791.379,2279077.638,6990417.126,523.259,337.2013333,2157281.78,6911928.795
157,4,dox_sifak,(15)Dox-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.cziku80:0002-1928,166.538,8670.91,1444036.836,6907570.201,523.259,337.2013333,1356894.329,6851413.365
158,5,dox_sifak,(14)Dox-siFAK-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0001-0629,225.331,6811.582,1534859.946,3412150.199,370.0456667,110.7713333,1451477.186,3387189.984
159,6,dox_sifak,(14)Dox-siFAK-h2ax-647-ku80-564-dapi-03_Out_Channel Alignment-1.cziku80:0002-1873,126.635,6888.226,872290.068,2151754.651,370.0456667,110.7713333,825429.335,2137727.123
160,7,dox_sifak,(16)Dox-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.cziku80:0001-0515,200.129,4042.055,808932.824,7993626.433,248.009,225.2596667,759299.0308,7948545.441
161,8,dox_sifak,(16)Dox-siFAK-h2ax-647-ku80-564-dapi-04_Out_Channel Alignment-1.cziku80:0002-1909,180.192,3521.147,634480.948,7069644.653,248.009,225.2596667,589791.7103,7029054.663
162,9,dox_sifak,(15)Dox-siFAK-h2ax-647-ku80-564-dapi-05_Out_Channel Alignment-1.cziku80:0001-1399,144.769,9466.251,1370418.477,4744757.611,579.5516667,127.5833333,1286517.362,4726287.499
163,10,dox_sifak,(15)Dox-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0001-0627,203.161,8116.385,1648936.65,9670674.36,461.574,188.1086667,1555162.815,9632458.015
164,11,dox_sifak,(15)Dox-siFAK-h2ax-647-ku80-564-dapi-06_Out_Channel Alignment-1.cziku80:0002-1818,168.748,6626.327,1118180.691,2040387.875,461.574,188.1086667,1040291.002,2008644.914
165,12,dox_sifak,(10)Dox-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0001-0833,206.002,5017.583,1033629.692,8483453.874,353.4523333,189.8166667,960817.8044,8444351.261
166,13,dox_sifak,(10)Dox-siFAK-h2ax-647-ku80-564-dapi-07_Out_Channel Alignment-1.cziku80:0002-1720,243.55,4879.002,1188281.418,6410492.623,353.4523333,189.8166667,1102198.102,6364262.774
167,14,dox_sifak,(11)Dox-siFAK-h2ax-647-ku80-564-dapi-08_Out_Channel Alignment-1.cziku80:0001-0583,168.409,8595.765,1447606.706,6404468.423,658.7796667,159.5396667,1336662.281,6377600.507
