index,index_original,tto,Label,Area,media bc fak,media bc ku80,media bc gh2ax,intden fak,intden ku80,intden gh2ax,RawIntDen fak,RawIntDen ku80,RawIntDen gh2ax,fak CTCF,Column1,ku80 CTCF,Column2,gh2ax CTCF,Column3
77,472,Dox 12 PF 12,(8)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-17_Out_Channel Alignment-1.czifak:nucleo0,293.833,704.8646667,282.5846667,470.547,3037577.209,4457817.94,3113835.036,2922009798,4288216168,2995366326,4250705.44,4250705.44,4374785.24,4374785.24,2975572.799,2975572.799
78,473,Dox 12 PF 12,(8)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-17_Out_Channel Alignment-1.czifak:nucleo1,268.873,704.8646667,282.5846667,470.547,2771004.572,3421578.84,1956637.066,2665579162,3291401735,1882195014,3232059.762,3232059.762,3345599.453,3345599.453,1830119.682,1830119.682
79,487,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-18_Out_Channel Alignment-1.czifak:nucleo0,289.425,1715.415333,615.4393333,417.0366667,6590752.438,3638354.231,1766183.308,6340001217,3499929707,1698987244,3141870.148,3141870.148,3460230.702,3460230.702,1645482.471,1645482.471
80,488,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-18_Out_Channel Alignment-1.czifak:nucleo1,283.415,1715.415333,615.4393333,417.0366667,7186413.724,4404103.394,2378726.77,6913000023,4236545241,2288225928,3917928.957,3917928.957,4229678.655,4229678.655,2260532.323,2260532.323
81,502,Dox 12 PF 12,(10)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-19_Out_Channel Alignment-1.czifak:nucleo0,267.325,1400.785,190.1946667,175.4396667,6235438.073,4079772.613,2801274.41,5998205113,3924553922,2694697356,3705307.763,3705307.763,4028928.824,4028928.824,2754375.001,2754375.001
82,503,Dox 12 PF 12,(10)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-19_Out_Channel Alignment-1.czifak:nucleo1,252.383,1400.785,190.1946667,175.4396667,5776065.832,3679019.208,2514681.485,5556310110,3539047548,2419008122,3325484.887,3325484.887,3631017.307,3631017.307,2470403.496,2470403.496
83,504,Dox 12 PF 12,(10)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-19_Out_Channel Alignment-1.czifak:nucleo2,296.427,1400.785,190.1946667,175.4396667,5620386.654,3183771.701,2758942.419,5406553889,3062642187,2653975924,2768541.206,2768541.206,3127392.867,3127392.867,2706937.365,2706937.365
84,505,Dox 12 PF 12,(10)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-19_Out_Channel Alignment-1.czifak:nucleo3,234.109,1400.785,190.1946667,175.4396667,4456206.711,2651321.591,1456722.674,4286666240,2550449629,1401300324,2323385.215,2323385.215,2606795.308,2606795.308,1415650.669,1415650.669
85,523,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-20_Out_Channel Alignment-1.czifak:nucleo0,256.401,1456.034667,182.548,91.31966667,7184491.584,3208510.497,1429996.739,6911151012,3086439772,1375591202,2835181.752,2835181.752,3161705.007,3161705.007,1406582.285,1406582.285
86,524,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-20_Out_Channel Alignment-1.czifak:nucleo1,239.178,1456.034667,182.548,91.31966667,6528967.353,3178907.805,1886696.878,6280566802,3057963342,1814915765,2830656.345,2830656.345,3135246.339,3135246.339,1864855.223,1864855.223
87,525,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-20_Out_Channel Alignment-1.czifak:nucleo2,286.593,1456.034667,182.548,91.31966667,6382818.905,2841779.785,1606206.414,6139978706,2733661667,1545096818,2424490.442,2424490.442,2789462.806,2789462.806,1580034.837,1580034.837
88,526,Dox 12 PF 12,(11)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-20_Out_Channel Alignment-1.czifak:nucleo3,310.547,1456.034667,182.548,91.31966667,7467453.837,2626112.107,1856926.692,7183347707,2526199263,1786278213,2173944.909,2173944.909,2569422.373,2569422.373,1828567.643,1828567.643
89,544,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-21_Out_Channel Alignment-1.czifak:nucleo0,343.441,674.9826667,534.4503333,200.9216667,3596331.322,5460426.705,2007264.719,3459505598,5252679763,1930896492,5228609.983,5228609.983,5276874.548,5276874.548,1938259.981,1938259.981
90,545,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-21_Out_Channel Alignment-1.czifak:nucleo1,231.168,674.9826667,534.4503333,200.9216667,2513233.278,3153196.033,921769.115,2417615013,3033229798,886699564,2997161.64,2997161.64,3029648.218,3029648.218,875322.4552,875322.4552
91,546,Dox 12 PF 12,(9)DOX12-PF12-gH2AX-647-ku80-546-fak-488-dapi-405-21_Out_Channel Alignment-1.czifak:nucleo2,281.062,674.9826667,534.4503333,200.9216667,2786401.373,3832534.578,1076198.902,2680390177,3686722285,1035253928,3642822.6,3642822.6,3682320.898,3682320.898,1019727.457,1019727.457
