n_original,dia,tto,tto_numero,Label,area,int_fak,int_dnapk,int_gammah2ax,fak_bc_mean,dnapk_b_meanc,gammah2ax_bc_mean,ctcf_fak,ctcf_fak_bar,ctcf_dnapk,ctcf_dnapk_bar,ctcf_gammah2ax,ctcf_gammah2ax_bar
175,dia 1,doxo,9,(16)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment-1.czifak:nucleo1,373.2,3977756.215,4576694.173,9697846.865,417.1423333,284.5786667,136.0783333,3822078.696,3822078.696,4470489.415,4470489.415,9647062.431,9647062.431
176,dia 1,doxo,10,(16)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment-1.czifak:nucleo2,189.665,1575079.11,1804031.605,743536.724,417.1423333,284.5786667,136.0783333,1495961.809,1495961.809,1750056.992,1750056.992,717727.4269,717727.4269
192,dia 1,doxo,11,(14)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment-1.czifak:nucleo0,211.33,512214.81,2053391.336,1653207.1,103.9176667,406.188,107.0146667,490253.8895,490253.8895,1967551.626,1967551.626,1630591.69,1630591.69
193,dia 1,doxo,12,(14)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment-1.czifak:nucleo1,117.211,328412.573,906102.235,1167396.781,103.9176667,406.188,107.0146667,316232.2794,316232.2794,858492.5333,858492.5333,1154853.485,1154853.485
207,dia 1,doxo,13,(14)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment-1.czifak:nucleo0,447.817,2499407.32,3850759.205,19806001.18,213.9613333,294.335,143.749,2403591.798,2403591.798,3718950.988,3718950.988,19741627.93,19741627.93
208,dia 1,doxo,14,(14)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment-1.czifak:nucleo1,242.245,998696.437,1806381.431,2073535.638,213.9613333,294.335,143.749,946865.3738,946865.3738,1735080.249,1735080.249,2038713.161,2038713.161
209,dia 1,doxo,15,(14)d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment-1.czifak:nucleo2,276.172,1461659.246,1742061.073,5821462.487,213.9613333,294.335,143.749,1402569.117,1402569.117,1660773.987,1660773.987,5781763.038,5781763.038
225,dia 2,controle,1,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo0,306.586,1059701.699,427508.097,257070.636,333.768,264.799,38.225,957373.103,957373.103,346324.4308,346324.4308,245351.3862,245351.3862
226,dia 2,controle,2,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo1,207.165,838402.395,397234.566,169330.124,333.768,264.799,38.225,769257.3473,769257.3473,342377.4812,342377.4812,161411.2419,161411.2419
227,dia 2,controle,3,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment-1.czifak:nucleo2,287.752,995695.877,634371.209,127581.655,333.768,264.799,38.225,899653.4675,899653.4675,558174.7672,558174.7672,116582.3348,116582.3348
243,dia 2,controle,4,(14)d2-ct-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment-1.czifak:nucleo0,204.575,777004.438,506859.563,701311.235,779.8306667,430.812,152.7226667,617470.5794,617470.5794,418726.1981,418726.1981,670067.9955,670067.9955
