,Label,Area,Mean,Circ.,IntDen,Kurt,RawIntDen,AR,Round,tto,tto2,imgn,nucleon,roin
81,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_4-roi_0-1.tiff,3.842,14.903,0.000811,57.258,12.173,55080,1.179,0.848,sifak,CT-siFAK,01,4,0
82,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_4-roi_1-1.tiff,3.581,21.54,0.000808,77.14,6.931,74205,1.226,0.815,sifak,CT-siFAK,01,4,1
83,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_4-roi_2-1.tiff,2.199,13.865,0.000816,30.485,13.449,29325,1.044,0.957,sifak,CT-siFAK,01,4,2
84,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_4-roi_3-1.tiff,2.492,12.66,0.000815,31.545,15.195,30345,1.085,0.922,sifak,CT-siFAK,01,4,3
85,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_4-roi_4-1.tiff,3.03,16.708,0.000816,50.631,10.332,48705,1.038,0.964,sifak,CT-siFAK,01,4,4
86,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_4-roi_5-1.tiff,3.555,15.583,0.000816,55.403,11.429,53295,1.053,0.95,sifak,CT-siFAK,01,4,5
87,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_4-roi_6-1.tiff,3.551,20.827,0.000815,73.959,7.333,71145,1.089,0.918,sifak,CT-siFAK,01,4,6
88,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-01_Out_Channel Alignment-1.czinucleo_4-roi_7-1.tiff,2.863,11.852,0.000816,33.931,16.564,32640,1.059,0.944,sifak,CT-siFAK,01,4,7
89,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_0-1.tiff,2.863,22.778,0.000816,65.211,6.293,62730,1.059,0.944,sifak,CT-siFAK,02,0,0
90,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_1-1.tiff,2.248,15.923,0.000816,35.787,11.081,34425,1.022,0.979,sifak,CT-siFAK,02,0,1
91,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_2-1.tiff,2.744,25.5,0.000813,69.983,5.111,67320,1.146,0.873,sifak,CT-siFAK,02,0,2
92,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_3-1.tiff,2.844,33.459,0.000811,95.166,2.772,91545,1.188,0.842,sifak,CT-siFAK,02,0,3
93,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_4-1.tiff,2.345,26.449,0.000816,62.03,4.757,59670,1.021,0.979,sifak,CT-siFAK,02,0,4
94,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_5-1.tiff,2.495,24.969,0.000816,62.295,5.321,59925,1.042,0.96,sifak,CT-siFAK,02,0,5
95,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_6-1.tiff,2.378,14.377,0.000811,34.196,12.796,32895,1.182,0.846,sifak,CT-siFAK,02,0,6
96,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_0-roi_7-1.tiff,2.844,28.24,0.000811,80.321,4.154,77265,1.188,0.842,sifak,CT-siFAK,02,0,7
97,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_1-roi_0-1.tiff,2.865,18.135,0.000816,51.957,9.138,49980,1.019,0.981,sifak,CT-siFAK,02,1,0
98,SUM_(13)CT-siFAK-h2ax-647-ku80-564-dapi-02_Out_Channel Alignment-1.czinucleo_2-roi_0-1.tiff,4.054,23.8,0.000815,96.491,5.817,92820,1.083,0.923,sifak,CT-siFAK,02,2,0
